2023-02-09 23:14:40,039 INFO    StreamThr :58348 [internal.py:wandb_internal():87] W&B internal server running at pid: 58348, started at: 2023-02-09 23:14:40.037628
2023-02-09 23:14:40,041 DEBUG   HandlerThread:58348 [handler.py:handle_request():139] handle_request: status
2023-02-09 23:14:40,044 DEBUG   SenderThread:58348 [sender.py:send_request():317] send_request: status
2023-02-09 23:14:40,061 DEBUG   SenderThread:58348 [sender.py:send():303] send: header
2023-02-09 23:14:40,061 INFO    WriterThread:58348 [datastore.py:open_for_write():75] open: /work/09012/haoli1/ls6/hurricane/code/wandb/run-20230209_231440-3v1e5aet/run-3v1e5aet.wandb
2023-02-09 23:14:40,062 DEBUG   SenderThread:58348 [sender.py:send():303] send: run
2023-02-09 23:14:40,388 DEBUG   HandlerThread:58348 [handler.py:handle_request():139] handle_request: check_version
2023-02-09 23:14:40,591 INFO    SenderThread:58348 [dir_watcher.py:__init__():216] watching files in: /work/09012/haoli1/ls6/hurricane/code/wandb/run-20230209_231440-3v1e5aet/files
2023-02-09 23:14:40,591 INFO    SenderThread:58348 [sender.py:_start_run_threads():928] run started: 3v1e5aet with start time 1676006080.055763
2023-02-09 23:14:40,591 DEBUG   SenderThread:58348 [sender.py:send():303] send: summary
2023-02-09 23:14:40,593 INFO    SenderThread:58348 [sender.py:_save_file():1171] saving file wandb-summary.json with policy end
2023-02-09 23:14:40,593 DEBUG   SenderThread:58348 [sender.py:send_request():317] send_request: check_version
2023-02-09 23:14:40,647 DEBUG   HandlerThread:58348 [handler.py:handle_request():139] handle_request: run_start
2023-02-09 23:14:40,659 DEBUG   HandlerThread:58348 [system_info.py:__init__():31] System info init
2023-02-09 23:14:40,659 DEBUG   HandlerThread:58348 [system_info.py:__init__():46] System info init done
2023-02-09 23:14:40,659 INFO    HandlerThread:58348 [system_monitor.py:start():150] Starting system monitor
2023-02-09 23:14:40,660 INFO    SystemMonitor:58348 [system_monitor.py:_start():116] Starting system asset monitoring threads
2023-02-09 23:14:40,660 INFO    HandlerThread:58348 [system_monitor.py:probe():171] Collecting system info
2023-02-09 23:14:40,660 INFO    SystemMonitor:58348 [interfaces.py:start():168] Started cpu
2023-02-09 23:14:40,661 INFO    SystemMonitor:58348 [interfaces.py:start():168] Started disk
2023-02-09 23:14:40,661 INFO    SystemMonitor:58348 [interfaces.py:start():168] Started gpu
2023-02-09 23:14:40,662 INFO    SystemMonitor:58348 [interfaces.py:start():168] Started memory
2023-02-09 23:14:40,663 INFO    SystemMonitor:58348 [interfaces.py:start():168] Started network
2023-02-09 23:14:40,704 DEBUG   HandlerThread:58348 [system_info.py:probe():195] Probing system
2023-02-09 23:14:40,709 DEBUG   HandlerThread:58348 [git.py:repo():40] git repository is invalid
2023-02-09 23:14:40,709 DEBUG   HandlerThread:58348 [system_info.py:probe():241] Probing system done
